ActivityID,ActivityName
e221deb0-98ee-11e9-84ad-0028f8be90af,Clay_Placement_S02_B02
e221deb1-98ee-11e9-9543-0028f8be90af,Clay_Placement_S03_B01
e221deb2-98ee-11e9-aefd-0028f8be90af,Clay_Placement_S03_B02
e221deb3-98ee-11e9-9f1e-0028f8be90af,Clay_Placement_S04_B01
e221deb4-98ee-11e9-a310-0028f8be90af,Clay_Placement_S04_B02
e221deb5-98ee-11e9-b983-0028f8be90af,Clay_Placement_S05_B01
e221deb6-98ee-11e9-8c5b-0028f8be90af,Clay_Placement_S05_B02
e221deb7-98ee-11e9-93d5-0028f8be90af,Clay_Placement_S06_B01
e221deb8-98ee-11e9-bb7d-0028f8be90af,Clay_Placement_S06_B02
e221deb9-98ee-11e9-b8d1-0028f8be90af,Clay_Placement_S07_B01
e221deba-98ee-11e9-a9af-0028f8be90af,Clay_Placement_S07_B02
e221debb-98ee-11e9-9035-0028f8be90af,Clay_Placement_S08_B01
e221debc-98ee-11e9-bfc7-0028f8be90af,Clay_Placement_S08_B02
e221debd-98ee-11e9-98b6-0028f8be90af,Clay_Placement_S09_B01
e22205d4-98ee-11e9-bf3d-0028f8be90af,Clay_Placement_S09_B02
e22205d5-98ee-11e9-9919-0028f8be90af,Clay_Placement_S10_B01
e22205d6-98ee-11e9-b3dc-0028f8be90af,Clay_Placement_S10_B02
e22205d7-98ee-11e9-b3fe-0028f8be90af,Clay_Placement_S11_B01
e22205d8-98ee-11e9-972f-0028f8be90af,Clay_Placement_S11_B02
e22205d9-98ee-11e9-b1ad-0028f8be90af,Clay_Placement_S12_B01
e22205da-98ee-11e9-b4a9-0028f8be90af,Clay_Placement_S12_B02
e22205db-98ee-11e9-aef6-0028f8be90af,Clay_Placement_S13_B01
e22205dc-98ee-11e9-8350-0028f8be90af,Clay_Placement_S13_B02
e22205dd-98ee-11e9-a768-0028f8be90af,Clay_Placement_S14_B01
e22205de-98ee-11e9-8540-0028f8be90af,Clay_Placement_S14_B02
e22205df-98ee-11e9-a8d1-0028f8be90af,Clay_Placement_S15_B01
e22205e0-98ee-11e9-a878-0028f8be90af,Clay_Placement_S15_B02
e22205e1-98ee-11e9-ac2f-0028f8be90af,Clay_Placement_S16_B01
e22205e2-98ee-11e9-988a-0028f8be90af,Clay_Placement_S16_B02
e22205e3-98ee-11e9-83aa-0028f8be90af,Clay_Placement_S17_B01
e22205e4-98ee-11e9-948a-0028f8be90af,Clay_Placement_S17_B02
e22205e5-98ee-11e9-b303-0028f8be90af,Clay_Placement_S18_B01
e22205e6-98ee-11e9-833e-0028f8be90af,Clay_Placement_S18_B02
e2222cd2-98ee-11e9-a3d1-0028f8be90af,Clay_Placement_S19_B01
e2222cd3-98ee-11e9-8b59-0028f8be90af,Clay_Placement_S19_B02
