ActivityID,EquipmentID,ActivityFunction
e2270ed3-98ee-11e9-b255-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2270ed4-98ee-11e9-962b-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2270ed4-98ee-11e9-962b-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e2270ed4-98ee-11e9-962b-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2270ed5-98ee-11e9-b5b4-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2270ed5-98ee-11e9-b5b4-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e2270ed5-98ee-11e9-b5b4-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d2-98ee-11e9-af84-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d2-98ee-11e9-af84-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d2-98ee-11e9-af84-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d3-98ee-11e9-94a5-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d3-98ee-11e9-94a5-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d3-98ee-11e9-94a5-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d4-98ee-11e9-8c06-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d4-98ee-11e9-8c06-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d4-98ee-11e9-8c06-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d5-98ee-11e9-bca4-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d5-98ee-11e9-bca4-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d5-98ee-11e9-bca4-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d6-98ee-11e9-b20a-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d6-98ee-11e9-b20a-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d6-98ee-11e9-b20a-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d7-98ee-11e9-a733-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d7-98ee-11e9-a733-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d7-98ee-11e9-a733-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d8-98ee-11e9-b77c-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d8-98ee-11e9-b77c-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d8-98ee-11e9-b77c-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735d9-98ee-11e9-b4a1-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735d9-98ee-11e9-b4a1-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735d9-98ee-11e9-b4a1-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735da-98ee-11e9-abd2-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735da-98ee-11e9-abd2-0028f8be90af,e21eaa4a-98ee-11e9-8e11-0028f8be90af,Mover
e22735da-98ee-11e9-abd2-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735db-98ee-11e9-b5ad-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735db-98ee-11e9-b5ad-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22735db-98ee-11e9-b5ad-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735dc-98ee-11e9-9be9-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735dc-98ee-11e9-9be9-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22735dc-98ee-11e9-9be9-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735dd-98ee-11e9-8a01-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735dd-98ee-11e9-8a01-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22735dd-98ee-11e9-8a01-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735de-98ee-11e9-9612-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735de-98ee-11e9-9612-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22735de-98ee-11e9-9612-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735df-98ee-11e9-bb9a-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735df-98ee-11e9-bb9a-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22735df-98ee-11e9-bb9a-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e22735e0-98ee-11e9-8268-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e22735e0-98ee-11e9-8268-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e22735e0-98ee-11e9-8268-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cd4-98ee-11e9-a19a-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cd4-98ee-11e9-a19a-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cd4-98ee-11e9-a19a-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cd5-98ee-11e9-9f3c-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cd5-98ee-11e9-9f3c-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cd5-98ee-11e9-9f3c-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cd6-98ee-11e9-9c8e-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cd6-98ee-11e9-9c8e-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cd6-98ee-11e9-9c8e-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cd7-98ee-11e9-bd88-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cd7-98ee-11e9-bd88-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cd7-98ee-11e9-bd88-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cd8-98ee-11e9-888c-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cd8-98ee-11e9-888c-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cd8-98ee-11e9-888c-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cd9-98ee-11e9-8699-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cd9-98ee-11e9-8699-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cd9-98ee-11e9-8699-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cda-98ee-11e9-8b02-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cda-98ee-11e9-8b02-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cda-98ee-11e9-8b02-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cdb-98ee-11e9-a824-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cdb-98ee-11e9-a824-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cdb-98ee-11e9-a824-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
e2275cdc-98ee-11e9-b28a-0028f8be90af,e21eaa48-98ee-11e9-85e9-0028f8be90af,Loader
e2275cdc-98ee-11e9-b28a-0028f8be90af,e21ed162-98ee-11e9-9011-0028f8be90af,Mover
e2275cdc-98ee-11e9-b28a-0028f8be90af,e21eaa49-98ee-11e9-a477-0028f8be90af,Unloader
